ID1,ID2,Score,Match_Type
R008,R044,50,DIFFERENT
R008,R045,53,DIFFERENT
R008,R046,53,DIFFERENT
R008,R047,53,DIFFERENT
R008,R048,53,DIFFERENT
R008,R049,53,DIFFERENT
R008,R050,77,DIFFERENT
R008,R051,77,DIFFERENT
R008,R052,77,DIFFERENT
R008,R053,77,DIFFERENT
R008,R054,77,DIFFERENT
R008,R055,77,DIFFERENT
R008,R056,77,DIFFERENT
R008,R057,42,DIFFERENT
R008,R058,42,DIFFERENT
R008,R059,42,DIFFERENT
R008,R060,42,DIFFERENT
R008,R061,41,DIFFERENT
R008,R062,42,DIFFERENT
R008,R063,42,DIFFERENT
R008,R064,58,DIFFERENT
R008,R065,58,DIFFERENT
R008,R066,58,DIFFERENT
R008,R067,58,DIFFERENT
R008,R068,58,DIFFERENT
R008,R069,58,DIFFERENT
R008,R070,58,DIFFERENT
R008,R071,53,DIFFERENT
R008,R072,53,DIFFERENT
R008,R073,53,DIFFERENT
R008,R074,53,DIFFERENT
R008,R075,53,DIFFERENT
R008,R076,54,DIFFERENT
R008,R077,53,DIFFERENT
R008,R078,48,DIFFERENT
R008,R079,49,DIFFERENT
R008,R080,48,DIFFERENT
R008,R081,48,DIFFERENT
R008,R082,46,DIFFERENT
R008,R083,46,DIFFERENT
R008,R084,48,DIFFERENT
R008,R085,34,DIFFERENT
R008,R086,34,DIFFERENT
R008,R087,34,DIFFERENT
R008,R088,34,DIFFERENT
R008,R089,35,DIFFERENT
R008,R090,34,DIFFERENT
R008,R091,34,DIFFERENT
R008,R092,40,DIFFERENT
R008,R093,40,DIFFERENT
R008,R094,40,DIFFERENT
R008,R095,41,DIFFERENT
R008,R096,40,DIFFERENT
R008,R097,40,DIFFERENT
R008,R098,41,DIFFERENT
R008,R099,49,DIFFERENT
R008,R100,52,DIFFERENT
R009,R010,100,DUPLICATE
R009,R011,100,DUPLICATE
R009,R012,100,DUPLICATE
R009,R013,98,DUPLICATE
R009,R014,100,DUPLICATE
R009,R015,47,DIFFERENT
R009,R016,47,DIFFERENT
R009,R017,47,DIFFERENT
R009,R018,47,DIFFERENT
R009,R019,47,DIFFERENT
R009,R020,47,DIFFERENT
R009,R021,47,DIFFERENT
R009,R022,38,DIFFERENT
R009,R023,38,DIFFERENT
R009,R024,38,DIFFERENT
R009,R025,38,DIFFERENT
R009,R026,38,DIFFERENT
R009,R027,38,DIFFERENT
R009,R028,38,DIFFERENT
R009,R029,48,DIFFERENT
R009,R030,47,DIFFERENT
R009,R031,47,DIFFERENT
R009,R032,47,DIFFERENT
R009,R033,47,DIFFERENT
R009,R034,47,DIFFERENT
R009,R035,47,DIFFERENT
R009,R036,33,DIFFERENT
R009,R037,33,DIFFERENT
R009,R038,43,DIFFERENT
R009,R039,33,DIFFERENT
R009,R040,34,DIFFERENT
R009,R041,33,DIFFERENT
R009,R042,33,DIFFERENT
R009,R043,53,DIFFERENT
R009,R044,50,DIFFERENT
R009,R045,53,DIFFERENT
R009,R046,53,DIFFERENT
R009,R047,53,DIFFERENT
R009,R048,53,DIFFERENT
R009,R049,53,DIFFERENT
R009,R050,77,DIFFERENT
R009,R051,77,DIFFERENT
R009,R052,77,DIFFERENT
R009,R053,77,DIFFERENT
R009,R054,77,DIFFERENT
R009,R055,77,DIFFERENT
R009,R056,77,DIFFERENT
R009,R057,42,DIFFERENT
R009,R058,42,DIFFERENT
R009,R059,42,DIFFERENT
R009,R060,42,DIFFERENT
R009,R061,41,DIFFERENT
R009,R062,42,DIFFERENT
R009,R063,42,DIFFERENT
R009,R064,58,DIFFERENT
R009,R065,58,DIFFERENT
R009,R066,58,DIFFERENT
R009,R067,58,DIFFERENT
R009,R068,58,DIFFERENT
R009,R069,58,DIFFERENT
R009,R070,58,DIFFERENT
R009,R071,53,DIFFERENT
R009,R072,53,DIFFERENT
R009,R073,53,DIFFERENT
R009,R074,53,DIFFERENT
R009,R075,53,DIFFERENT
R009,R076,54,DIFFERENT
R009,R077,53,DIFFERENT
R009,R078,48,DIFFERENT
R009,R079,49,DIFFERENT
R009,R080,48,DIFFERENT
R009,R081,48,DIFFERENT
R009,R082,46,DIFFERENT
R009,R083,46,DIFFERENT
R009,R084,48,DIFFERENT
R009,R085,34,DIFFERENT
R009,R086,34,DIFFERENT
R009,R087,34,DIFFERENT
R009,R088,34,DIFFERENT
R009,R089,35,DIFFERENT
R009,R090,34,DIFFERENT
R009,R091,34,DIFFERENT
R009,R092,40,DIFFERENT
R009,R093,40,DIFFERENT
R009,R094,40,DIFFERENT
R009,R095,41,DIFFERENT
R009,R096,40,DIFFERENT
R009,R097,40,DIFFERENT
R009,R098,41,DIFFERENT
R009,R099,49,DIFFERENT
R009,R100,52,DIFFERENT
R010,R011,100,DUPLICATE
R010,R012,100,DUPLICATE
R010,R013,98,DUPLICATE
R010,R014,100,DUPLICATE
R010,R015,47,DIFFERENT
R010,R016,47,DIFFERENT
R010,R017,47,DIFFERENT
R010,R018,47,DIFFERENT
R010,R019,47,DIFFERENT
R010,R020,47,DIFFERENT
R010,R021,47,DIFFERENT
R010,R022,38,DIFFERENT
R010,R023,38,DIFFERENT
R010,R024,38,DIFFERENT
R010,R025,38,DIFFERENT
